account	账户;客户	rekening;akun
accountant	会计师	akuntan
accounting	会计;财务核算	akuntansi
accrual	应计;权责发生	akrual
acquisition	收购;并购	akuisisi
advertising	广告投放	periklanan
affiliate	关联公司;分支机构	afiliasi;anak usaha
agenda	议程	agenda
agreement	协议;合同	perjanjian
allocation	分配;拨款	alokasi
amortization	摊销	amortisasi
annuity	年金	anuitas
appraisal	评估;估值	penilaian
arbitration	仲裁	arbitrase
arrears	欠款;拖欠	tunggakan
asset	资产	aset
assurance	保证;担保	jaminan
audit	审计	audit
auditor	审计师	auditor
authorization	授权	otorisasi
backlog	未交付订单;积压	pesanan tertunda
balance	余额;结存	saldo
bankruptcy	破产	kepailitan
bargain	讨价还价;交易	tawar-menawar
benchmark	基准;对标	tolok ukur
beneficiary	受益人	penerima manfaat
bid	投标;报价	penawaran;tender
billing	开票;账单	penagihan
bonus	奖金	bonus
bookkeeping	记账	pembukuan
brand	品牌	merek
breach	违约;违反	pelanggaran
breakeven	盈亏平衡	titik impas
broker	经纪人	pialang;broker
budget	预算	anggaran
bulk	批量;散装	curah;grosir
bureau	局;办事处	biro
buyer	买方;采购员	pembeli
capital	资本	modal
cargo	货物	kargo;muatan
cashflow	现金流	arus kas
ceiling	上限	batas atas
certificate	证书	sertifikat
chairman	董事长	ketua
charge	费用;收费	biaya
charter	包租;章程	piagam;sewa
clause	条款	klausul
clearance	清关;清仓	pembebasan;bea keluar
client	客户	klien
collateral	抵押物;担保品	agunan
commission	佣金	komisi
commodity	大宗商品	komoditas
compensation	赔偿;薪酬	kompensasi
competitor	竞争对手	pesaing
compliance	合规	kepatuhan
concession	让步;特许权	konsesi
conglomerate	企业集团	konglomerat
consignment	寄售;托运	konsinyasi
consolidation	合并;整合	konsolidasi
consortium	财团;联合体	konsorsium
consultancy	咨询公司	konsultansi
consumer	消费者	konsumen
contract	合同	kontrak
contractor	承包商	kontraktor
contribution	出资;贡献	kontribusi;iuran
conversion	转换;转化率	konversi
cooperative	合作社	koperasi
copyright	著作权	hak cipta
corporation	公司;法人	korporasi;perseroan
cost	成本	biaya
coverage	保险范围;覆盖率	cakupan
credential	资质证明	kredensial
credit	信贷;赊账	kredit
creditor	债权人	kreditur
currency	货币	mata uang
customs	海关	bea cukai
damages	损害赔偿金	ganti rugi
dealer	经销商	dealer;penyalur
debenture	公司债券	obligasi
debit	借记;扣款	debit
debt	债务	utang
debtor	债务人	debitur
default	违约;拖欠	gagal bayar
deficit	赤字;逆差	defisit
delegate	代表;授权	delegasi
delivery	交付;配送	pengiriman
demand	需求	permintaan
demurrage	滞期费	demurrage
depreciation	折旧	penyusutan
deregulation	放松管制	deregulasi
devaluation	货币贬值	devaluasi
dispatch	发货;调度	pengiriman
distributor	分销商	distributor
dividend	股息;分红	dividen
documentation	单证;文件	dokumentasi
domicile	住所地;注册地	domisili
downturn	下行;衰退	penurunan
draft	汇票;草案	draf;wesel
duty	关税;职责	bea;tugas
earnings	盈利;收益	laba
efficiency	效率	efisiensi
embargo	禁运	embargo
employee	员工	karyawan
employer	雇主	pemberi kerja
employment	雇佣;就业	ketenagakerjaan
endorsement	背书;认可	dukungan;endosemen
enterprise	企业	perusahaan
entitlement	应享权益	hak
entrepreneur	创业者	wirausahawan
equity	股权;权益	ekuitas
escrow	第三方托管	rekening bersama
estimate	估算;报价	estimasi;perkiraan
evaluation	评估	evaluasi
exchange	汇兑;交易所	pertukaran;bursa
excise	消费税	cukai
executive	高管	eksekutif
exemption	免税;豁免	pembebasan
expenditure	支出	pengeluaran
expense	费用	beban;biaya
export	出口	ekspor
exposure	风险敞口	eksposur
factory	工厂	pabrik
feasibility	可行性	kelayakan
fee	费用	biaya
fiduciary	受托的;信托	fidusia
filing	申报;备案	pelaporan
finance	财务;融资	keuangan
forecast	预测	perkiraan
foreclosure	抵押品赎回权丧失	penyitaan
franchise	特许经营	waralaba
fraud	欺诈	penipuan
freight	运费;货运	ongkos angkut
fulfillment	履约;订单履行	pemenuhan
fund	资金;基金	dana
gearing	杠杆比率	rasio utang
goodwill	商誉	goodwill
grant	拨款;授予	hibah
gratuity	小费;酬金	uang jasa
gross	毛;总额	bruto;kotor
guarantee	保证;担保	garansi;jaminan
headquarters	总部	kantor pusat
hedge	对冲	lindung nilai
holding	控股;持有	kepemilikan
import	进口	impor
incentive	激励;奖励	insentif
income	收入	pendapatan
incorporation	公司设立	pendirian perusahaan
indemnity	赔偿保障	ganti rugi
index	指数	indeks
indicator	指标	indikator
industry	行业;工业	industri
inflation	通货膨胀	inflasi
infrastructure	基础设施	infrastruktur
inheritance	继承;遗产	warisan
initiative	举措	inisiatif
injunction	禁令	putusan sela
innovation	创新	inovasi
insolvency	资不抵债	insolvensi
inspection	检验;查验	inspeksi;pemeriksaan
installment	分期付款	cicilan
institution	机构	lembaga
instrument	金融工具;文书	instrumen
insurance	保险	asuransi
intangible	无形的	tak berwujud
integration	整合	integrasi
interest	利息	bunga
interim	中期的;临时的	sementara
intermediary	中介	perantara
inventory	库存	persediaan
investment	投资	investasi
invoice	发票	faktur
issuance	发行	penerbitan
itemization	明细列示	perincian
joint	合资的;共同的	patungan;bersama
judgment	判决	putusan
jurisdiction	管辖权	yurisdiksi
labour	劳工;劳动力	tenaga kerja
ledger	总账	buku besar
lease	租赁	sewa
leverage	杠杆	leverage
liability	负债;责任	liabilitas;tanggung jawab
license	许可证	lisensi;izin
lien	留置权	hak gadai
liquidation	清算	likuidasi
liquidity	流动性	likuiditas
litigation	诉讼	litigasi
loan	贷款	pinjaman
logistics	物流	logistik
loss	亏损;损失	kerugian
maintenance	维护;保养	pemeliharaan
managerial	管理的	manajerial
mandate	授权;委托	mandat
manifest	舱单;载货清单	manifes
manufacturer	制造商	produsen
margin	利润率;毛利	margin
market	市场	pasar
markdown	降价	potongan harga
markup	加价	markup
maturity	到期	jatuh tempo
memorandum	备忘录	memorandum
merchandise	商品	barang dagangan
merger	合并	merger
milestone	里程碑	tonggak
monopoly	垄断	monopoli
mortgage	按揭;抵押贷款	hipotek;KPR
negotiation	谈判	negosiasi
notary	公证人	notaris
obligation	义务;债务	kewajiban
offshore	离岸的	lepas pantai
oligopoly	寡头垄断	oligopoli
onshore	在岸的	dalam negeri
operation	运营	operasi
opportunity	机会	peluang
option	期权;选择权	opsi
ordinance	条例	peraturan
outlay	支出	pengeluaran
outlet	门店;销售渠道	gerai
output	产量;产出	keluaran;produksi
outsourcing	外包	alih daya
overdraft	透支	cerukan
overhead	间接费用	biaya overhead
overtime	加班	lembur
ownership	所有权	kepemilikan
packaging	包装	kemasan
partnership	合伙;合作关系	kemitraan
patent	专利	paten
payable	应付款	utang usaha
payment	付款	pembayaran
payroll	工资单;薪资	penggajian
penalty	罚金;违约金	denda
pension	养老金	pensiun
performance	业绩;履约	kinerja
permit	许可证	izin
petition	申请;请愿	permohonan
pipeline	渠道储备;管道	saluran
pledge	质押;承诺	jaminan;janji
policy	保单;政策	polis;kebijakan
portfolio	投资组合;产品组合	portofolio
premium	保费;溢价	premi
prepayment	预付款	pembayaran di muka
principal	本金;委托人	pokok;prinsipal
procurement	采购	pengadaan
productivity	生产率	produktivitas
profit	利润	laba
projection	预测	proyeksi
promotion	促销;晋升	promosi
proposal	提案	proposal
proprietor	业主	pemilik
prospectus	招股说明书	prospektus
provision	准备金;条款	provisi;ketentuan
proxy	代理;委托书	proksi;kuasa
purchase	采购;购买	pembelian
quality	质量	kualitas
quota	配额	kuota
quotation	报价单	penawaran harga
ratio	比率	rasio
rebate	返利;回扣	rabat
receipt	收据	kuitansi
receivable	应收款	piutang
recession	经济衰退	resesi
reconciliation	对账	rekonsiliasi
recruitment	招聘	rekrutmen
